taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID
urn:lsid:marinespecies.org:taxname:162	urn:lsid:marinespecies.org:taxname:162	urn:lsid:marinespecies.org:taxname:162	urn:lsid:marinespecies.org:taxname:14714		Pyramidellidae	Pyramidellidae	Pyramidelloidea			Animalia	Mollusca	Gastropoda		Pyramidellidae					Family	Gray, 1840	ICZN	accepted		2011-02-17	MolluscaBase eds. (2023). MolluscaBase. Pyramidellidae Gray, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=162	https://www.marinespecies.org/aphia.php?p=taxdetails&id=162					
urn:lsid:marinespecies.org:taxname:164	urn:lsid:marinespecies.org:taxname:164	urn:lsid:marinespecies.org:taxname:164	urn:lsid:marinespecies.org:taxname:325345		Gymnosomata	Gymnosomata	Pteropoda	Blainville, H. M. D. de. (1824). Mollusques, Mollusca (Malacoz.), pp. 1-392. In: Dictionnaire des Sciences Naturelles (F. Cuvier, ed.), vol. 32. Levrault, Strasbourg et Paris, & Le Normant, Paris. 	1824	Animalia	Mollusca	Gastropoda	Pteropoda						Suborder	Blainville, 1824	ICZN	accepted		2018-02-08	MolluscaBase eds. (2023). MolluscaBase. Gymnosomata. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=164	https://www.marinespecies.org/aphia.php?p=taxdetails&id=164					
urn:lsid:marinespecies.org:taxname:165	urn:lsid:marinespecies.org:taxname:165	urn:lsid:marinespecies.org:taxname:165	urn:lsid:marinespecies.org:taxname:411912		Pneumodermatidae	Pneumodermatidae	Clionoidea			Animalia	Mollusca	Gastropoda	Pteropoda	Pneumodermatidae					Family	Latreille, 1825	ICZN	accepted		2011-05-03	MolluscaBase eds. (2023). MolluscaBase. Pneumodermatidae Latreille, 1825. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=165	https://www.marinespecies.org/aphia.php?p=taxdetails&id=165					
urn:lsid:marinespecies.org:taxname:166	urn:lsid:marinespecies.org:taxname:166	urn:lsid:marinespecies.org:taxname:166	urn:lsid:marinespecies.org:taxname:411912		Clionidae	Clionidae	Clionoidea			Animalia	Mollusca	Gastropoda	Pteropoda	Clionidae					Family	Rafinesque, 1815	ICZN	accepted		2011-04-30	MolluscaBase eds. (2023). MolluscaBase. Clionidae Rafinesque, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=166	https://www.marinespecies.org/aphia.php?p=taxdetails&id=166					
urn:lsid:marinespecies.org:taxname:167	urn:lsid:marinespecies.org:taxname:167	urn:lsid:marinespecies.org:taxname:167	urn:lsid:marinespecies.org:taxname:1057250		Sacoglossa	Sacoglossa	Tectipleura			Animalia	Mollusca	Gastropoda							Superorder		ICZN	accepted		2018-02-02	MolluscaBase eds. (2023). MolluscaBase. Sacoglossa. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=167	https://www.marinespecies.org/aphia.php?p=taxdetails&id=167					
urn:lsid:marinespecies.org:taxname:169	urn:lsid:marinespecies.org:taxname:169	urn:lsid:marinespecies.org:taxname:23063	urn:lsid:marinespecies.org:taxname:411959		Stiligeridae	Limapontiidae	Plakobranchoidea			Animalia	Mollusca	Gastropoda		Stiligeridae					Family	Iredale & O'Donoghue, 1923	ICZN	unaccepted		2010-06-10	MolluscaBase eds. (2023). MolluscaBase. Stiligeridae Iredale & O'Donoghue, 1923. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=169	https://www.marinespecies.org/aphia.php?p=taxdetails&id=169					
urn:lsid:marinespecies.org:taxname:171	urn:lsid:marinespecies.org:taxname:171	urn:lsid:marinespecies.org:taxname:1058953	urn:lsid:marinespecies.org:taxname:1057250		Anaspidea	Aplysiida	Tectipleura			Animalia	Mollusca	Gastropoda	Anaspidea						Order	P. Fischer, 1883	ICZN	unaccepted		2018-02-08	MolluscaBase eds. (2023). MolluscaBase. Anaspidea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=171	https://www.marinespecies.org/aphia.php?p=taxdetails&id=171					
urn:lsid:marinespecies.org:taxname:172	urn:lsid:marinespecies.org:taxname:172	urn:lsid:marinespecies.org:taxname:172	urn:lsid:marinespecies.org:taxname:225490		Aplysiidae	Aplysiidae	Aplysioidea			Animalia	Mollusca	Gastropoda	Aplysiida	Aplysiidae					Family	Lamarck, 1809	ICZN	accepted		2010-09-21	MolluscaBase eds. (2023). MolluscaBase. Aplysiidae Lamarck, 1809. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172	https://www.marinespecies.org/aphia.php?p=taxdetails&id=172					
urn:lsid:marinespecies.org:taxname:173	urn:lsid:marinespecies.org:taxname:173	urn:lsid:marinespecies.org:taxname:173	urn:lsid:marinespecies.org:taxname:246038		Doridoidea	Doridoidea	Doridoidei			Animalia	Mollusca	Gastropoda	Nudibranchia						Superfamily	Rafinesque, 1815	ICZN	accepted		2010-10-16	MolluscaBase eds. (2023). MolluscaBase. Doridoidea Rafinesque, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173	https://www.marinespecies.org/aphia.php?p=taxdetails&id=173					
urn:lsid:marinespecies.org:taxname:174	urn:lsid:marinespecies.org:taxname:174	urn:lsid:marinespecies.org:taxname:174	urn:lsid:marinespecies.org:taxname:246152		Goniodorididae	Goniodorididae	Onchidoridoidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Goniodorididae					Family	H. Adams & A. Adams, 1854	ICZN	accepted		2011-05-02	MolluscaBase eds. (2023). MolluscaBase. Goniodorididae H. Adams & A. Adams, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=174	https://www.marinespecies.org/aphia.php?p=taxdetails&id=174					
